durations,T_all,NA_core,NA_rim,NB_core,NB_rim
211.0,1205.3157966555873,197.60920308029742,801.0,427.39079691970255,0.0
212.0,1205.2636279601984,197.09206831905777,801.0,427.9079316809422,0.0
213.0,1205.2114592648095,196.57862634099783,801.0,428.42137365900214,0.0
214.0,1205.1592905694208,196.068838755491,801.0,428.931161244509,0.0
215.0,1205.107121874032,195.5626677019834,801.0,429.4373322980166,0.0
216.0,1205.054953178643,195.06007584087558,801.0,429.9399241591244,0.0
217.0,1205.0027844832543,194.56102634459137,801.0,430.43897365540863,0.0
218.0,1204.9506157878654,194.06548288883042,801.0,430.9345171111696,0.0
219.0,1204.8984470924765,193.573409643999,801.0,431.426590356001,0.0
220.0,1204.8462783970879,193.0847712668156,801.0,431.9152287331844,0.0
221.0,1204.794109701699,192.5995328920866,801.0,432.4004671079134,0.0
222.0,1204.74194100631,192.11766012464855,801.0,432.8823398753515,0.0
223.0,1204.6897723109214,191.63911903147275,801.0,433.3608809685272,0.0
224.0,1204.6376036155325,191.16387613392837,801.0,433.8361238660716,0.0
225.0,1204.5854349201436,190.6918984002006,801.0,434.3081015997994,0.0
226.0,1204.5332662247547,190.22315323786017,801.0,434.7768467621398,0.0
227.0,1204.481097529366,189.75760848658032,801.0,435.24239151341965,0.0
228.0,1204.4289288339771,189.29523241099866,801.0,435.70476758900134,0.0
229.0,1204.3767601385882,188.83599369371964,801.0,436.1640063062804,0.0
230.0,1204.3245914431996,188.37986142845506,801.0,436.62013857154494,0.0
231.0,1204.2724227478107,187.9268051132991,801.0,437.0731948867009,0.0
232.0,1204.2202540524218,187.4767946441351,801.0,437.5232053558649,0.0
233.0,1204.168085357033,187.02980030817073,801.0,437.9701996918293,0.0
234.0,1204.1159166616442,186.5857927775989,801.0,438.4142072224011,0.0
235.0,1204.0637479662553,186.14474310338161,801.0,438.85525689661836,0.0
236.0,1204.0115792708666,185.7066227091537,801.0,439.2933772908463,0.0
237.0,1203.9594105754777,185.271403385244,801.0,439.728596614756,0.0
238.0,1203.9072418800888,184.8390572828113,801.0,440.16094271718873,0.0
